epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,5680.62,0.84662,0.91842,0.97271,0.9786,0.84598,0.86292,0.72653,0.83812,0.54099,0.9281,0.000343696,0.000343696,0.000343696
91,5743.64,0.80527,0.87529,0.95934,0.97681,0.85149,0.86285,0.72557,0.85472,0.53821,0.92767,0.000338198,0.000338198,0.000338198
92,5806.83,0.81509,1.00568,0.93862,0.96552,0.85391,0.86337,0.72389,0.84386,0.5352,0.92728,0.0003327,0.0003327,0.0003327
93,5869.87,0.81668,0.88106,0.96175,0.95214,0.85162,0.86318,0.72151,0.86213,0.56905,0.93429,0.000327202,0.000327202,0.000327202
94,5933.06,0.79685,0.84036,0.9389,0.95185,0.85037,0.86154,0.71651,0.85063,0.57382,0.94047,0.000321705,0.000321705,0.000321705
95,5996.1,0.80032,1.24519,0.92991,0.97049,0.8495,0.86396,0.7149,0.87335,0.56515,0.95281,0.000316207,0.000316207,0.000316207
96,6059.25,0.81743,1.18751,0.93059,0.98495,0.84961,0.86637,0.70881,0.87878,0.54693,0.95487,0.000310709,0.000310709,0.000310709
97,6122.31,0.7961,0.97273,0.94474,0.98727,0.85177,0.86643,0.71635,0.86404,0.53011,0.94081,0.000305211,0.000305211,0.000305211
98,6185.45,0.79498,0.79931,0.94521,0.9815,0.85213,0.86675,0.73232,0.83328,0.50733,0.92672,0.000299713,0.000299713,0.000299713
99,6248.48,0.79197,0.83298,0.96491,0.96574,0.85091,0.86607,0.72406,0.84633,0.52663,0.93088,0.000294216,0.000294216,0.000294216
100,6311.52,0.8161,1.38077,0.93451,0.95748,0.84982,0.86558,0.73151,0.85828,0.57848,0.93591,0.000288718,0.000288718,0.000288718
101,6374.71,0.81032,1.00157,0.95438,0.96694,0.84708,0.862,0.72036,0.84627,0.54361,0.9307,0.00028322,0.00028322,0.00028322
102,6437.84,0.79255,0.87244,0.93725,0.97356,0.84265,0.86362,0.7247,0.83837,0.51374,0.92596,0.000277722,0.000277722,0.000277722
103,6500.89,0.81425,0.87494,0.96303,0.97932,0.85414,0.86532,0.71705,0.84305,0.5173,0.9315,0.000272224,0.000272224,0.000272224
104,6563.9,0.83468,1.11322,0.95096,0.97737,0.85674,0.86519,0.73098,0.82972,0.5166,0.9216,0.000266727,0.000266727,0.000266727
105,6626.97,0.77544,1.28148,0.90977,0.97127,0.85085,0.86629,0.73224,0.82263,0.53734,0.91833,0.000261229,0.000261229,0.000261229
